_question;_latex;_alt1;_alt2;_alt3;_alt4;_alt5;_correct_alt;_genre;_pid
In logistic regression for binary classification, what is the meaning/interpretation of the output of the sigmoid function for an input $x$?;;Estimate of parameters w;Cross-entropy loss value;Predicted probability $Pr(\{y=1 | x\})$;True label;Bias;_alt3;Linear Models;1
Which of the following options explains why convolutional neural networks became popular?;;Parameter sharing;Localized Pattern Detection;Hierarchical Pattern Recognition across Layers;All options;Pooling layers;_alt4;Neural Nets;2
What is not an advantage of residual connection in deep neural networks?;;Identity+ optional non-linearity;Never worse than identity;If a convolution block is not useful, it will be bypassed;Visual info processed at various scales & concatenated along depth;Helps reduce the number of parameters in the network;_alt4;CNNs;3
"A classification model is evaluated on 3 classes: A, B, and C. For each class, you are given the precision and recall values at each relevant threshold.The average precision (AP) is defined as the area under the precision-recall curve for each class.
Suppose we approximate this area using the 11-point interpolated Average Precision method, where precision is measured at 11 recall levels: $\{0.0, 0.1, 0.2, ..., 1.0\}$. For each recall level $r$, the precision is defined as the maximum precision obtained for any recall $\geq r$. You are given the following interpolated precision values:
Class A: $[1.0, 1.0, 1.0, 0.9, 0.9, 0.85, 0.8, 0.7, 0.6, 0.5, 0.5]$
Class B: $[1.0, 1.0, 0.9, 0.9, 0.85, 0.8, 0.75, 0.7, 0.6, 0.6, 0.5]$
Class C: $[0.9, 0.85, 0.8, 0.75, 0.7, 0.65, 0.6, 0.6, 0.55, 0.5, 0.4]$";mAP = \frac{1}{N} \sum_{i=1}^N AP_i,  \text{ where N is the number of classes};0.700;0.727;0.750;0.800;0.833;_alt3;"Performance Estimation
";4
A 1D convolutional layer has kernel size 3 and stride 2. A second layer on top uses kernel size 5 and stride 3. A third layer uses kernel size 3 and stride 1. How many input elements from the original input affect one output value of the third layer (assume no padding, center neuron)?;;15;11;17;21;13;_alt3;CNNs;5
Which of the following is true about dropout?;;Dropout removes neurons during inference.;Dropout reduces training time significantly.;Dropout prevents co-adaptation and improves generalization.;Dropout increases the number of trainable parameters.;Dropout enforces weight sharing.;_alt3;Neural Nets;6
Given a $3 \times 2$ input matrix and a transposed convolution with kernel size $2 \times 2$, stride 2, and no padding, what is the spatial size of the output?;\text{Output} = \text{Stride} \times (\text{Input size} - 1) + \text{Kernel size};$6 \times 4$;$5 \times 3$;$7 \times 5$;$4 \times 2$;$3 \times 2$;_alt1;CNNs;7
In a binary classification problem, we care more about detecting rare positive cases (label B). Which metric is most suitable?;;Accuracy;Specificity;Precision;Recall (Sensitivity);F1-score;_alt4;Performance Estimation;8
Given empirical risk minimization: How do you adjust it for importance weighting with known density ratios $r(x,y)$?;\min_{\theta} \frac{1}{N} \sum_{n=1}^N \ell(h_\theta(x_n), y_n);Multiply the loss by the predicted label;Add a penalty term based on class imbalance;Replace the loss with KL divergence;Replace $l$ with $r(x_n, y_n)\cdot l$;Replace N with test set size;_alt4;Performance Estimation;9
A 2D convolution has input shape $(112, 224)$, kernel size $(5, 5)$, stride 4, and padding 5. What is the spatial output shape?;\text{Output size} = \left\lfloor \frac{N + 2P - K}{S} \right\rfloor + 1;$(29, 57)$;$(28, 56)$;$(27, 55)$;$(26, 54)$;$(30, 58)$;_alt1;CNNs;10
